"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 02 19:45:33 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","324","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 19:45:32 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","1110","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 19:45:34 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","111","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 19:45:32 GMT 2023","Sat Dec 02 19:45:33 GMT 2023","669","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 19:45:32 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","1683","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 19:45:32 GMT 2023","Sat Dec 02 19:45:33 GMT 2023","929","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 19:45:34 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","662","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 19:45:32 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","1705","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Sat Dec 02 19:45:34 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","259","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 19:45:32 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","1470","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Sat Dec 02 19:45:34 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","137","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 19:45:33 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","555","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 19:45:32 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","1928","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 19:45:34 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","301","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 19:45:34 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","85","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 19:45:34 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","216","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 19:45:34 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","252","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Sat Dec 02 19:45:34 GMT 2023","Sat Dec 02 19:45:34 GMT 2023","69","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
