"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 15:48:18 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","413","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:17 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","1700","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Wed Nov 29 15:48:19 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","111","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:19 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","131","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:19 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","164","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Wed Nov 29 15:48:19 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","139","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Wed Nov 29 15:48:19 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","100","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:17 GMT 2023","Wed Nov 29 15:48:18 GMT 2023","1045","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:17 GMT 2023","Wed Nov 29 15:48:18 GMT 2023","798","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:17 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","1575","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:17 GMT 2023","Wed Nov 29 15:48:18 GMT 2023","1470","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:19 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","136","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:18 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","59","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:18 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","343","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:17 GMT 2023","Wed Nov 29 15:48:18 GMT 2023","1451","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:18 GMT 2023","Wed Nov 29 15:48:18 GMT 2023","149","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:17 GMT 2023","Wed Nov 29 15:48:18 GMT 2023","1285","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:18 GMT 2023","Wed Nov 29 15:48:19 GMT 2023","265","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
