"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 15:16:12 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","1965","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","154","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","110","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","134","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","65","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","661","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 15:16:12 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","2024","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 02 15:16:12 GMT 2023","Thu Feb 02 15:16:13 GMT 2023","1269","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","118","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","149","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 15:16:12 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","2050","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 15:16:12 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","2178","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 15:16:12 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","1991","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","247","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 15:16:12 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","1603","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","238","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 15:16:12 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","2101","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 02 15:16:14 GMT 2023","Thu Feb 02 15:16:14 GMT 2023","227","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
