"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 02 17:33:22 GMT 2023","Sat Dec 02 17:33:22 GMT 2023","367","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 17:33:21 GMT 2023","Sat Dec 02 17:33:22 GMT 2023","960","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 17:33:22 GMT 2023","Sat Dec 02 17:33:22 GMT 2023","127","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 17:33:22 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","585","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 17:33:21 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","1809","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 17:33:23 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","79","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 17:33:22 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","683","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Sat Dec 02 17:33:23 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","290","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 17:33:22 GMT 2023","Sat Dec 02 17:33:22 GMT 2023","104","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 17:33:21 GMT 2023","Sat Dec 02 17:33:22 GMT 2023","888","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 17:33:23 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","115","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 17:33:21 GMT 2023","Sat Dec 02 17:33:22 GMT 2023","875","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 17:33:21 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","1633","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Sat Dec 02 17:33:21 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","1716","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Sat Dec 02 17:33:22 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","397","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 17:33:21 GMT 2023","Sat Dec 02 17:33:22 GMT 2023","576","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 17:33:22 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","538","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 17:33:23 GMT 2023","Sat Dec 02 17:33:23 GMT 2023","53","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
