"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","274","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","151","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","162","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Feb 03 11:28:35 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","1756","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Feb 03 11:28:35 GMT 2023","Fri Feb 03 11:28:36 GMT 2023","1215","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","108","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","77","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Feb 03 11:28:35 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","1521","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","102","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Feb 03 11:28:35 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","2061","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","94","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Feb 03 11:28:35 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","1804","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Fri Feb 03 11:28:35 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","1977","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Fri Feb 03 11:28:35 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","1865","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Feb 03 11:28:35 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","1811","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","29","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","585","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Feb 03 11:28:37 GMT 2023","Fri Feb 03 11:28:37 GMT 2023","170","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
