"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 14:48:20 GMT 2023","Thu Feb 02 14:48:21 GMT 2023","1137","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 14:48:22 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","176","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 14:48:22 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","150","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 14:48:20 GMT 2023","Thu Feb 02 14:48:21 GMT 2023","1353","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 14:48:22 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","123","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 14:48:21 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","713","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 14:48:20 GMT 2023","Thu Feb 02 14:48:21 GMT 2023","1469","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 14:48:21 GMT 2023","Thu Feb 02 14:48:21 GMT 2023","224","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 14:48:21 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","473","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 14:48:22 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","299","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 14:48:20 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","1979","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 14:48:22 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","175","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 14:48:20 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","2330","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 14:48:22 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","196","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 14:48:20 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","2390","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 02 14:48:20 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","2385","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 02 14:48:21 GMT 2023","Thu Feb 02 14:48:21 GMT 2023","181","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 14:48:20 GMT 2023","Thu Feb 02 14:48:22 GMT 2023","2479","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
