"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","26","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","139","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 16:05:12 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","1987","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","157","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","262","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","103","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 16:05:12 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","2028","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 16:05:12 GMT 2023","Thu Feb 02 16:05:13 GMT 2023","1581","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","158","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 16:05:12 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","2179","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","625","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 16:05:12 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","1922","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 02 16:05:12 GMT 2023","Thu Feb 02 16:05:13 GMT 2023","1290","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","191","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 16:05:12 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","2158","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Thu Feb 02 16:05:12 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","2148","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","150","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 02 16:05:14 GMT 2023","Thu Feb 02 16:05:14 GMT 2023","134","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
