"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 17 16:14:15 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","566","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:14:13 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","1599","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Nov 17 16:14:15 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","398","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:14:13 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","1714","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:14:13 GMT 2023","Fri Nov 17 16:14:14 GMT 2023","976","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:14:15 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","100","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Nov 17 16:14:14 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","379","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:14:15 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","344","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:14:15 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","118","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:14:13 GMT 2023","Fri Nov 17 16:14:14 GMT 2023","968","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:14:13 GMT 2023","Fri Nov 17 16:14:14 GMT 2023","978","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:14:13 GMT 2023","Fri Nov 17 16:14:14 GMT 2023","608","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:14:15 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","138","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Fri Nov 17 16:14:14 GMT 2023","Fri Nov 17 16:14:14 GMT 2023","218","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:14:13 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","1437","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:14:14 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","175","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:14:14 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","146","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:14:15 GMT 2023","Fri Nov 17 16:14:15 GMT 2023","134","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
