"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 05 23:26:53 GMT 2023","Sun Feb 05 23:26:54 GMT 2023","1545","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Sun Feb 05 23:26:55 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","74","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sun Feb 05 23:26:55 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","282","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Feb 05 23:26:53 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","2357","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Sun Feb 05 23:26:55 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","88","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sun Feb 05 23:26:53 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","2203","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Sun Feb 05 23:26:55 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","101","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sun Feb 05 23:26:53 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","2411","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Sun Feb 05 23:26:54 GMT 2023","Sun Feb 05 23:26:54 GMT 2023","226","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Feb 05 23:26:54 GMT 2023","Sun Feb 05 23:26:54 GMT 2023","150","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Feb 05 23:26:54 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","690","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Feb 05 23:26:54 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","630","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Sun Feb 05 23:26:55 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","138","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sun Feb 05 23:26:53 GMT 2023","Sun Feb 05 23:26:54 GMT 2023","1498","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Feb 05 23:26:53 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","2359","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Sun Feb 05 23:26:55 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","102","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Feb 05 23:26:53 GMT 2023","Sun Feb 05 23:26:55 GMT 2023","2494","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Sun Feb 05 23:26:53 GMT 2023","Sun Feb 05 23:26:54 GMT 2023","1043","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
