"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 17 16:13:18 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","153","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:13:18 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","104","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:13:17 GMT 2023","Fri Nov 17 16:13:17 GMT 2023","927","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:13:17 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","1719","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:13:17 GMT 2023","Fri Nov 17 16:13:17 GMT 2023","626","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:13:17 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","1798","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:13:18 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","524","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:13:18 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","203","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:13:17 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","477","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:13:18 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","140","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Fri Nov 17 16:13:17 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","1736","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Nov 17 16:13:18 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","201","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:13:18 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","113","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Nov 17 16:13:18 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","189","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:13:17 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","1578","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Fri Nov 17 16:13:18 GMT 2023","Fri Nov 17 16:13:18 GMT 2023","157","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:13:17 GMT 2023","Fri Nov 17 16:13:17 GMT 2023","903","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Nov 17 16:13:17 GMT 2023","Fri Nov 17 16:13:17 GMT 2023","243","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
